L' B-Claim HighQuality
hirsutisme I-Claim HighQuality
facial I-Claim HighQuality
est I-Claim HighQuality
l' I-Claim HighQuality
un I-Claim HighQuality
des I-Claim HighQuality
traits I-Claim HighQuality
caractéristiques I-Claim HighQuality
du I-Claim HighQuality
syndrome I-Claim HighQuality
des I-Claim HighQuality
ovaires I-Claim HighQuality
polykystiques I-Claim HighQuality
(SOPK), I-Claim HighQuality
et I-Claim HighQuality
cela I-Claim HighQuality
peut I-Claim HighQuality
conduire I-Claim HighQuality
à I-Claim HighQuality
des I-Claim HighQuality
niveaux I-Claim HighQuality
élevés I-Claim HighQuality
de I-Claim HighQuality
dépression I-Claim HighQuality
et I-Claim HighQuality
d' I-Claim HighQuality
anxiété. I-Claim HighQuality

Évaluer O -
l' O -
impact O -
du O -
traitement O -
au O -
laser O -
sur O -
la O -
gravité O -
de O -
l' O -
hirsutisme O -
facial O -
et O -
sur O -
la O -
morbidité O -
psychologique O -
chez O -
les O -
femmes O -
atteintes O -
du O -
SOPK. O -

Un O -
essai O -
contrôlé O -
randomisé O -
de O -
cinq O -
traitements O -
à O -
forte O -
influence O -
(intervention) O -
par O -
rapport O -
à O -
cinq O -
traitements O -
à O -
faible O -
influence O -
(contrôle) O -
a O -
été O -
réalisé O -
sur O -
une O -
période O -
de O -
6 O -
mois O -
dans O -
un O -
hôpital O -
pédagogique O -
du O -
National O -
Health O -
Service. O -

Les O -
sujets O -
étaient O -
88 O -
femmes O -
atteintes O -
d' O -
hirsutisme O -
facial O -
dû O -
au O -
SOPK O -
recrutées O -
dans O -
des O -
cliniques O -
ambulatoires O -
d' O -
hôpitaux O -
et O -
un O -
groupe O -
de O -
soutien O -
aux O -
patients O -
en O -
2001-2002. O -

Les O -
principaux O -
critères O -
de O -
jugement O -
étaient O -
la O -
sévérité O -
autodéclarée O -
des O -
poils O -
du O -
visage O -
(mesurée O -
sur O -
une O -
échelle O -
de O -
1 O -
à O -
10), O -
la O -
dépression, O -
l' O -
anxiété O -
(mesurée O -
sur O -
l' O -
échelle O -
d' O -
anxiété O -
et O -
de O -
dépression O -
hospitalière) O -
et O -
la O -
qualité O -
de O -
vie O -
(mesurée O -
sur O -
le O -
WHOQOL-BREF). O -

La B-Premise HighQuality
sévérité I-Premise HighQuality
autodéclarée I-Premise HighQuality
des I-Premise HighQuality
poils I-Premise HighQuality
du I-Premise HighQuality
visage I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
groupe I-Premise HighQuality
d' I-Premise HighQuality
intervention I-Premise HighQuality
(n I-Premise HighQuality
= I-Premise HighQuality
51 I-Premise HighQuality
) I-Premise HighQuality
est I-Premise HighQuality
passée I-Premise HighQuality
de I-Premise HighQuality
7,3 I-Premise HighQuality
à I-Premise HighQuality
3,6 I-Premise HighQuality
au I-Premise HighQuality
cours I-Premise HighQuality
de I-Premise HighQuality
la I-Premise HighQuality
période I-Premise HighQuality
d' I-Premise HighQuality
étude I-Premise HighQuality
de I-Premise HighQuality
6 I-Premise HighQuality
mois I-Premise HighQuality
";" I-Premise HighQuality
pour I-Premise HighQuality
le I-Premise HighQuality
groupe I-Premise HighQuality
témoin I-Premise HighQuality
(n I-Premise HighQuality
= I-Premise HighQuality
37), I-Premise HighQuality
les I-Premise HighQuality
scores I-Premise HighQuality
correspondants I-Premise HighQuality
étaient I-Premise HighQuality
de I-Premise HighQuality
7,1 I-Premise HighQuality
et I-Premise HighQuality
6,1. I-Premise HighQuality

Le B-Premise HighQuality
changement I-Premise HighQuality
a I-Premise HighQuality
été I-Premise HighQuality
significativement I-Premise HighQuality
plus I-Premise HighQuality
important I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
groupe I-Premise HighQuality
d' I-Premise HighQuality
intervention I-Premise HighQuality
[ I-Premise HighQuality
ancova I-Premise HighQuality
F I-Premise HighQuality
( I-Premise HighQuality
(1,83) I-Premise HighQuality
) I-Premise HighQuality
= I-Premise HighQuality
24,5, I-Premise HighQuality
P I-Premise HighQuality
< I-Premise HighQuality
0,05 I-Premise HighQuality
]. I-Premise HighQuality

Le B-Premise HighQuality
temps I-Premise HighQuality
autodéclaré I-Premise HighQuality
consacré I-Premise HighQuality
à I-Premise HighQuality
l' I-Premise HighQuality
épilation I-Premise HighQuality
est I-Premise HighQuality
passé I-Premise HighQuality
de I-Premise HighQuality
112 I-Premise HighQuality
à I-Premise HighQuality
21 I-Premise HighQuality
min I-Premise HighQuality
par I-Premise HighQuality
semaine I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
groupe I-Premise HighQuality
d' I-Premise HighQuality
intervention I-Premise HighQuality
et I-Premise HighQuality
de I-Premise HighQuality
92 I-Premise HighQuality
à I-Premise HighQuality
56 I-Premise HighQuality
min I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
groupe I-Premise HighQuality
témoin I-Premise HighQuality
[ I-Premise HighQuality
F I-Premise HighQuality
( I-Premise HighQuality
(1,80) I-Premise HighQuality
) I-Premise HighQuality
= I-Premise HighQuality
10,2, I-Premise HighQuality
P I-Premise HighQuality
< I-Premise HighQuality
/= I-Premise HighQuality
0,05 I-Premise HighQuality
]. I-Premise HighQuality

Les O -
scores O -
moyens O -
de O -
dépression O -
sont O -
passés O -
de O -
6,7 O -
à O -
3,6 O -
dans O -
le O -
groupe O -
d' O -
intervention, O -
contre O -
6,1 O -
à O -
5,4 O -
dans O -
le O -
groupe O -
témoin O -
[ O -
F O -
( O -
(1,83 O -
) O -
= O -
14,7, O -
P O -
< O -
0,05 O -
]. O -

Un O -
changement O -
similaire O -
a O -
été O -
observé O -
pour O -
les O -
scores O -
moyens O -
d' O -
anxiété: O -
intervention O -
de O -
11,1 O -
à O -
8,2, O -
contrôle O -
de O -
9,6 O -
à O -
9,3 O -
[ O -
F O -
( O -
(1,84) O -
) O -
= O -
17,8, O -
P O -
< O -
0,05 O -
]. O -

La B-Premise HighQuality
qualité I-Premise HighQuality
de I-Premise HighQuality
vie I-Premise HighQuality
psychologique I-Premise HighQuality
s' I-Premise HighQuality
est I-Premise HighQuality
également I-Premise HighQuality
améliorée I-Premise HighQuality
davantage I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
groupe I-Premise HighQuality
d' I-Premise HighQuality
intervention, I-Premise HighQuality
passant I-Premise HighQuality
de I-Premise HighQuality
49,6 I-Premise HighQuality
à I-Premise HighQuality
61,2 I-Premise HighQuality
contre I-Premise HighQuality
50,1 I-Premise HighQuality
à I-Premise HighQuality
51,5 I-Premise HighQuality
dans I-Premise HighQuality
le I-Premise HighQuality
groupe I-Premise HighQuality
témoin I-Premise HighQuality
[ I-Premise HighQuality
F I-Premise HighQuality
( I-Premise HighQuality
(1,84) I-Premise HighQuality
) I-Premise HighQuality
= I-Premise HighQuality
10,9, I-Premise HighQuality
P I-Premise HighQuality
< I-Premise HighQuality
0,05 I-Premise HighQuality
]. I-Premise HighQuality

Le B-Claim HighQuality
